location,type,bedrooms,bathrooms,parking,log_area,log_price
Fontibón,Local,3,2.0,0,5.493061443340548,20.42216074416249
Puente Aranda,Apartamento,3,4.5,1,5.3230099791384085,21.128730945054574
Puente Aranda,Casa,4,4.0,1,5.6240175061873385,21.639556568820566
Niza,Casa,4,4.0,0,5.8916442118257715,21.716517609956693
Chapinero Alto,Local,3,2.0,0,5.3230099791384085,20.903919336639667
El Chicó,Apartamento,4,5.0,0,5.857933154483459,21.716517609956693
El Chicó,Apartamento,3,4.0,0,5.298317366548036,21.31105250184853
Barrios Unidos,Casa,4,2.0,1,5.6240175061873385,20.905587393740365
Modelia,Casa,10,4.0,0,5.293304824724492,20.71321550109291
San Patricio,Local,3,1.0,1,3.4011973816621555,19.25358986688747
San Cristobal,Apartamento,3,2.0,0,4.406719247264253,20.030118656386467
Modelia,Casa,5,4.5,1,5.438079308923196,20.905587392907034
Chapinero,Apartamento,4,4.5,1,5.6240175061873385,22.055631856040748
El Chicó,Apartamento,3,3.5,1,5.6240175061873385,20.79558649852604
Usaquén,Apartamento,3,3.5,1,5.6240175061873385,20.86302777932157
El Chicó,Apartamento,3,3.5,1,5.6240175061873385,21.282881624881835
Los Rosales,Apartamento,3,4.5,1,5.6240175061873385,21.416413017506358
El Retiro,Apartamento,3,3.5,1,5.6240175061873385,21.488733679085982
Barrios Unidos,Apartamento,3,2.5,1,4.983606621708336,20.468373587317622
Quinta Camacho,Apartamento,5,5.0,1,5.7899601708972535,21.82187812561452
Chapinero,Apartamento,3,4.0,1,5.736572297479192,21.406362681652855
Usaquén,Local,1,2.0,1,3.6375861597263857,19.485391480944795
Usaquén,Apartamento,3,3.0,1,5.6240175061873385,20.292482920853956
Suba,Apartamento,3,2.0,0,4.276666119016055,20.17853866150474
Usaquén,Apartamento,3,2.0,0,4.0943445622221,19.83166771766263
Usaquén,Apartamento,3,5.0,1,5.799092654460526,21.947041268568526
Metropolis,Local,3,1.0,1,4.382026634673881,20.43558376449463
Chapinero,Apartamento,3,5.0,1,5.459585514144159,21.338451476036646
Barrancas,Oficina,3,2.0,1,6.126869184114185,15.89495209964411
Suba,Casa,3,2.0,0,5.638354669333745,20.671972542558862
Ricaurte,Local,3,2.0,0,5.3706380281276624,21.75288525412757
Cerros De Suba,Casa,4,4.0,1,5.736572297479192,21.02337042939675
Santa Barbara,Apartamento,4,3.0,1,5.247024072160486,20.772056001115843
Cedritos,Casa,3,4.0,1,5.6240175061873385,20.394761769974377
Usaquén,Casa,4,3.0,1,5.703782474656201,21.639556568820566
Suba,Casa,2,2.0,0,4.382026634673881,19.3567741031227
Cedritos,Apartamento,3,3.0,0,4.6913478822291435,20.276978734317993
Chapinero,Apartamento,3,3.0,1,5.087596335232384,20.94640938826062
San Patricio,Apartamento,3,2.5,1,5.181783550292085,20.560746907448635
Santa Barbara,Oficina,3,1.0,0,3.258096538021482,19.519293032620475
La Candelaria,Apartamento,2,2.0,1,4.820281565605037,20.245230036003413
Pablo VI,Apartamento,4,2.0,0,4.882801922586371,20.19563309486404
Barrios Unidos,Apartaestudio,1,1.0,1,4.143134726391533,20.261230377349854
Santa Barbara,Apartamento,2,2.0,1,4.976733742420574,20.21244021318042
San Cristobal,Casa,8,5.0,0,5.075173815233827,20.5001222856322
Ciudad Bolívar,Apartamento,3,1.0,0,3.713572066704308,19.25358986688747
Ciudad Bolívar,Casa,6,3.0,0,4.2626798770413155,19.450300161133523
Kennedy,Casa,6,3.0,0,5.0106352940962555,20.5001222856322
Usme,Casa,5,3.0,0,4.060443010546419,19.6146032124248
Usaquén,Apartamento,4,4.5,1,5.958424693029782,21.678777281973847
Ingles,Casa,5,2.0,0,3.7376696182833684,19.67344371244773
El Retiro,Apartamento,3,3.5,1,5.424950017481403,21.82187812561452
Los Rosales,Apartamento,4,3.5,1,5.8944028342648505,21.4459718197479
Chico Reservado,Apartamento,3,2.5,1,4.867534450455582,20.682443842426157
Chapinero,Apartamento,4,3.5,0,5.8522024797744745,21.46520318167579
Chapinero,Apartamento,1,1.0,1,4.174387269895637,20.292482920853956
El Chicó,Apartamento,2,2.5,1,4.727387818712341,20.905587393740365
Bella Suiza,Apartamento,2,2.5,1,4.74493212836325,20.36659089300768
Usme,Casa,3,2.0,0,4.276666119016055,19.3761921889798
Las Aguas,Oficina,3,2.0,0,4.442651256490317,19.583831553758046
El Chicó,Apartamento,4,3.5,1,5.135798437050262,20.893008611533507
Usaquén,Casa,3,2.5,1,5.056245805348308,20.43558376449463
Las Villas,Casa,4,2.5,1,5.54907608489522,21.2240411248589
Usaquén,Apartamento,1,1.0,1,3.784189633918261,19.89085658905296
Chapinero,Casa,6,6.0,1,5.680172609017068,21.365119723118806
Niza,Apartamento,3,3.0,1,4.634728988229636,20.276978734317993
Suba,Casa,3,2.5,1,4.430816798843313,19.98929666186621
Las Villas,Casa,4,4.0,1,5.247024072160486,20.671972542558862
Marly,Casa,8,6.0,0,6.2878585601617845,21.416413017506358
El Chicó,Oficina,3,1.0,0,5.805134968916488,21.819344919756166
Bosque De Pinos,Apartamento,4,4.5,1,5.480638923341991,20.99710250257614
Niza,Casa,5,4.0,1,5.087596335232384,20.772056001115843
Niza,Casa,4,3.5,1,5.0106352940962555,20.617905321288585
Galerias,Apartaestudio,1,1.0,1,3.4339872044851463,19.231610960168695
La Macarena,Apartaestudio,1,1.0,0,3.6109179126442243,19.583831553758046
Santa Maria Del Lago,Apartamento,3,2.0,0,3.9318256327243257,19.519293032620475
Chico Norte,Local,3,1.0,0,5.488937726156687,15.048864673052918
Pasadena ,Oficina,3,2.0,1,4.276666119016055,20.617905321288585
Pasadena ,Oficina,3,2.0,1,4.1588830833596715,20.595432465436527
Pasadena ,Oficina,3,2.0,1,4.770684624465665,21.161520767877565
Usaquén,Apartamento,4,4.0,1,5.564520407322694,20.71321550109291
Fontibón,Local,3,2.0,0,5.6240175061873385,21.288295514725913
Bellavista Occidental,Apartamento,3,3.0,1,4.990432586778736,20.818576016750736
Barrios Unidos,Casa,8,4.0,1,5.342334251964811,20.671972542558862
Engativa,Casa,4,3.0,1,5.384495062789089,13.641157170819497
Cedritos,Apartamento,4,4.0,1,4.941642422609304,20.315297598620127
Las Villas,Casa,7,6.0,1,5.823045895483019,21.128730945054574
Puente Aranda,Casa,4,3.0,1,5.220355825078324,20.5001222856322
Kennedy,Local,3,4.0,0,4.787491742782046,20.60673202069046
Chapinero,Local,3,1.0,1,2.995732273553991,18.890684373198102
Suba,Casa,4,3.0,1,5.598421958998375,20.560746907448635
Pasadena ,Oficina,3,2.0,1,3.6888794541139363,20.049921283682647
Ricaurte,Casa,3,2.0,0,5.529429087511423,21.51172319731068
Colinas De Suba,Casa,4,3.5,1,5.978885764901122,21.46520318167579
Colinas De Suba,Apartamento,3,4.0,0,5.318119993844216,21.365119723118806
Usaquén,Apartamento,4,4.5,1,6.016157159698354,21.971733881158897
Suba,Apartamento,3,3.5,0,5.1647859739235145,20.94640938826062
Colinas De Suba,Casa,3,3.5,1,5.2832037287379885,20.86302777932157
Alhambra,Apartamento,3,3.0,1,5.214935757608986,20.394761769974377
Chapinero,Apartamento,3,2.5,1,4.867534450455582,20.89721914406985
Chico Reservado,Apartamento,2,2.5,1,5.030437921392435,21.242059630361577
Usaquén,Apartamento,2,2.0,1,4.804021044733257,20.818576016750736
Fontibón,Oficina,3,1.0,1,4.836281906951478,21.217962078782516
Chapinero,Apartamento,3,3.5,1,5.337538079701318,14.22097566607244
San Patricio,Apartaestudio,3,1.0,0,3.713572066704308,20.16114691879287
El Virrey,Apartamento,3,2.5,1,5.075173815233827,21.282881624881835
Usaquén,Apartamento,2,2.0,1,4.605170185988092,20.36659089300768
