price,location,type,bedrooms,bathrooms,area,parking
Desde $ 859.500.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",𝐃𝐔𝐀𝐋 𝟏𝟎𝟏 𝐇𝐎𝐔𝐒𝐄,2 - 4 habitaciones,3 - 4 baños,Desde  85 m²,
Desde $ 466.475.500,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Hacienda Los Lagos Apartamentos,2 - 3 habitaciones,2 baños,Desde  54 m²,
$ 13.047.900.000,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Niza,,,2.538 m²,Parqueadero
$ 740.000.000,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Fontibón,,,243 m²,
$ 1.500.000.000,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",Apartamento en Venta en Puente Aranda,3 habitaciones,"4,5 baños",205 m²,Parqueadero
$ 2.500.000.000,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",Casa en Venta en Puente Aranda,4 habitaciones,4 baños,,Parqueadero
$ 2.700.000.000,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Niza,4 habitaciones,4 baños,362 m²,
$ 3.900.000.000,"El Retiro, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Retiro,3 habitaciones,5 baños,258 m²,
$ 4.000.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,3 habitaciones,4 baños,400 m²,
$ 1.198.000.000,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Local comercial en Venta en Chapinero Alto,3 habitaciones,2 baños,205 m²,
$ 2.700.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,4 habitaciones,5 baños,350 m²,
$ 1.800.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,3 habitaciones,4 baños,200 m²,
$ 1.200.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Casa en Venta en Barrios Unidos,4 habitaciones,2 baños,,Parqueadero
$ 990.000.000,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",Casa en Venta en Modelia,10 habitaciones,4 baños,199 m²,
$ 230.000.000,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Local comercial en Venta en San Patricio,,1 baño,30 m²,Parqueadero
$ 500.000.000,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",Apartamento en Venta en San Cristobal,3 habitaciones,2 baños,82 m²,
$ 1.199.999.999,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",Casa en Venta en Modelia,5 habitaciones,"4,5 baños",230 m²,Parqueadero
$ 3.790.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,4 habitaciones,"4,5 baños",,Parqueadero
$ 1.075.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,3 habitaciones,"3,5 baños",,Parqueadero
$ 1.150.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,3 habitaciones,"3,5 baños",,Parqueadero
$ 1.750.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,3 habitaciones,"3,5 baños",,Parqueadero
$ 2.000.000.000,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Los Rosales,3 habitaciones,"4,5 baños",,Parqueadero
$ 2.150.000.000,"El Retiro, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Retiro,3 habitaciones,"3,5 baños",,Parqueadero
$ 775.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Barrios Unidos,3 habitaciones,"2,5 baños",146 m²,Parqueadero
$ 3.000.000.000,"Quinta Camacho, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Quinta Camacho,5 habitaciones,5 baños,327 m²,Parqueadero
$ 3.600.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Local comercial en Venta en Barrios Unidos,,,1.700 m²,Parqueadero
$ 1.980.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,3 habitaciones,4 baños,310 m²,Parqueadero
$ 3.900.000.000,"Villemar, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Villemar,,,2.164 m²,
$ 290.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Local comercial en Venta en Usaquén,1 habitación,2 baños,38 m²,Parqueadero
$ 650.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,3 habitaciones,3 baños,,Parqueadero
$ 580.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Suba,3 habitaciones,2 baños,72 m²,
$ 410.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,3 habitaciones,2 baños,60 m²,
$ 3.400.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,,5 baños,330 m²,Parqueadero
$ 750.000.000,"Metropolis, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Metropolis,,1 baño,80 m²,Parqueadero
$ 1.850.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,3 habitaciones,5 baños,235 m²,Parqueadero
$ 8.000.000,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrancas,,,458 m²,Parqueadero
$ 13.900.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Local comercial en Venta en Chapinero,,,1.934 m²,Parqueadero
$ 10.000.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Local comercial en Venta en Barrios Unidos,,,1.900 m²,
$ 3.490.000.000,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",Local comercial en Venta en San Cristobal,,,842 m²,
$ 950.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Suba,,,281 m²,
$ 2.800.000.000,"Ricaurte, Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",Local comercial en Venta en Ricaurte,,,215 m²,
$ 1.350.000.000,"Cerros De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Cerros De Suba,4 habitaciones,4 baños,310 m²,Parqueadero
$ 1.050.000.000,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Santa Barbara,4 habitaciones,3 baños,190 m²,Parqueadero
